Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SOFTWARE DEVELOPER,CANADIAN SOLAR,"GUELPH, ON",93642.0,118572.0,2023-10-04,2023-10-04
INTERMEDIATE C++ SOFTWARE DEVELOPER – INTEGRATED MEDIA BLOCK,CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",87571.0,110884.0,2023-10-04,2023-10-04
FULL STACK DEVELOPER,"CLOUD DX, INC.","KITCHENER, ON",84746.0,107308.0,2023-10-04,2023-12-07
JAVA ENGINEER (BACKEND),PROSPECT,"WATERLOO, ON",75154.0,95162.0,2023-10-04,2023-10-04
"SENIOR SOFTWARE ENGINEER, MOBILE (ANDROID) - REMOTE/HYBRID",IMS,"WATERLOO, ON",93765.0,118728.0,2023-10-04,2023-12-07
SENIOR SITE RELIABILITY ENGINEERING DEVELOPER (DEVOPS),ENCIRCLE,"KITCHENER, ON",163309.0,206785.0,2023-10-04,2023-10-04
"SENIOR JAVA DEVELOPER (ONSITE CAMBRIDGE, ON)",VECTORVUE,"KITCHENER, ON",,,2023-10-04,2023-12-07
SOFTWARE DEVELOPER,ONTARIO HEALTH,VARIOUS LOCATIONS,86598.0,109653.0,2023-10-04,2023-10-04
"PRODUCT DEVELOPER, SOFTWARE - ADVANCED RESEARCH",CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",76644.0,97048.0,2023-10-04,2023-12-07
FULL STACK WEB DEVELOPER,BICDROID INC.,"WATERLOO, ON",54981.0,69618.0,2023-10-04,2023-12-07
INTERMEDIATE SOFTWARE DEVELOPER (REMOTE),DRIVERCHECK INC.,"KITCHENER, ON",111358.0,141005.0,2023-10-04,2023-10-04
SOFTWARE ENGINEER (FRONT END WEB APPLICATION - ANGULAR),POWER TAKEOFF,"KITCHENER, ON",,,2023-10-04,2023-10-04
SOFTWARE ENGINEERING MANAGER,CEDENT,"WATERLOO, ON",102184.0,129388.0,2023-10-04,2023-12-07
SENIOR WORDPRESS DEVELOPER FOR ECOMMERCE,SIENCI LABS INC.,"WATERLOO, ON",,,2023-10-04,2023-10-04
"TECHNICAL SOLUTIONS DEVELOPER, INFRASTRUCTURE, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
IT/ SOFTWARE DEVELOPMENT TECHNOLOGY CONSULTANT FOR TAX INCENTIVES,KPMG,"WATERLOO, ON",57375.0,72650.0,2023-10-04,2023-12-07
JAVA WEBOBJECTS WEB DEVELOPER,LIFELEARN,"GUELPH, ON",86595.0,109648.0,2023-10-04,2023-12-07
EDUCATIONAL DEVELOPER,UNIVERSITY OF WATERLOO,"WATERLOO, ON",79048.0,100092.0,2023-10-04,2023-10-04
CNC PROGRAMMER,ARTCO,"KITCHENER, ON",40790.0,51650.0,2023-10-04,2023-12-07
SOFTWARE ENGINEER - FULL STACK,MCAP,"WATERLOO, ON",88820.0,112466.0,2023-10-04,2023-12-07
SENIOR SOFTWARE DEVELOPER,D2L,"KITCHENER, ON",105533.0,133629.0,2023-10-04,2023-12-07
