Job Title,Company,Location,Estimated Salary
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"— Waterloo, ON","Estimated: $57,375 - $72,650 a year"
Senior Software Engineer/Team Lead,Descartes,"— Waterloo, ON","Estimated: $156,268 - $197,870 a year"
Test Engineer,KA Imaging Inc,"— Waterloo, ON","Estimated: $75,195 - $95,214 a year"
Lead Software Developer,opentext,"— Waterloo, ON","Estimated: $99,852 - $126,435 a year"
Senior Embedded Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $86,108 - $109,033 a year"
Vulkan Graphics Engineer - Global Remote,CoreAVI,"— Waterloo, ON","Estimated: $99,086 - $125,465 a year"
"Intermediate Image Specialist, Product Developer",Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $66,061 - $83,648 a year"
Senior Staff Backend Engineer,Recruiting From Scratch,"— Waterloo, ON","$190,000 - $250,000 a year"
Software Engineer Senior,Altair Engineering,"— Waterloo, ON","Estimated: $101,626 - $128,681 a year"
"Lead Technology Specialist, Digital Developer",Equitable,"— Waterloo, ON","Estimated: $99,784 - $126,349 a year"
Fullstack Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,815 - $113,725 a year"
Full Stack Engineer,Just Play Sports Solutions LLC,"— Kitchener, ON","Estimated: $85,716 - $108,535 a year"
Software Engineer - Remote (Canada),TeamViewer,"— Kitchener, ON","Estimated: $96,886 - $122,679 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $95,948 - $121,492 a year"
Senior Embedded Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $85,986 - $108,878 a year"
Sr. Android Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $96,002 - $121,560 a year"
Sr. Android Developer,opentext,"— Waterloo, ON","Estimated: $96,002 - $121,560 a year"
Senior Direct3D Software Developer,ALLUDO,"— Waterloo, ON","Estimated: $109,785 - $139,013 a year"
"Advisor, Business Development (University of Waterloo)",Mitacs,"— Waterloo, ON","$70,080 - $105,120 a year"
Unreal Engine C++ Developer II - SDK,Mawari,"— Waterloo, ON","Estimated: $95,624 - $121,082 a year"
Intermediate Control Systems Software Designer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $62,955 - $79,715 a year"
"Senior Front End Engineer, FPI",Carta,"— Waterloo, ON","Estimated: $100,317 - $127,024 a year"
"Product Developer, Software - Advanced Research",Christie Digital,"— Kitchener, ON","Estimated: $78,402 - $99,275 a year"
First Nations / Inuit / Métis - HR Digital Solution Developer,BMO Financial Group,— Ontario,"Estimated: $74,245 - $94,011 a year"
Software Engineering Manager,CEDENT,"— Waterloo, ON","Estimated: $102,184 - $129,388 a year"
Java Developer,Info-Ways,"— Waterloo, ON","Estimated: $71,289 - $90,268 a year"
Mechanical Engineer or CET for Building Automation,Energy Controls & Mechanical Services Inc.,"— Kitchener, ON",$32 - $50 an hour
"Lead Technology Specialist, BI Developer",Equitable,"— Waterloo, ON","Estimated: $104,858 - $132,774 a year"
"Technical Solutions Developer, Google Kubernetes Engine or Anthos",Google,"— Waterloo, ON",N/A
Software Engineer and DevOps,Ansys,"— Waterloo, ON","Estimated: $82,856 - $104,914 a year"
"Intermediate Image Specialist, Product Developer",Christie Digital,"— Kitchener, ON","Estimated: $66,503 - $84,208 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
Sr. Site Reliability Administrator,opentext,"— Waterloo, ON","Estimated: $97,291 - $123,192 a year"
Senior Front End Engineer,Carta,"— Waterloo, ON","Estimated: $100,317 - $127,024 a year"
Informatica Cloud Developer - REMOTE,Sky Systems Inc,— Ontario,$100 - $125 an hour
Business Development Specialist,BicDroid Inc.,"— Waterloo, ON","Estimated: $66,394 - $84,070 a year"
"Senior Technology Specialist, Enterprise Platforms Developer",Equitable,"— Waterloo, ON","Estimated: $87,385 - $110,648 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $91,469 - $115,821 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
Project Manager,Ontario Health,— Ontario,"Estimated: $96,287 - $121,921 a year"
Senior ASP.NET Application Developer,RKD Web Studios,"— Guelph, ON","Estimated: $72,638 - $91,976 a year"
"Vice President, Global Real Estate and Facilities",opentext,"— Waterloo, ON","Estimated: $97,770 - $123,798 a year"
Sr. Product Manager,opentext,"— Waterloo, ON","Estimated: $110,674 - $140,139 a year"
Senior Software Engineer - Archer (Contract),Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Senior DevOps Developer,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $106,499 - $134,851 a year"
Staff Perception Developer - Localization and Mapping,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $99,096 - $125,478 a year"
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $81,333 - $102,986 a year"
Sr. RPA Business Analyst,opentext,"— Waterloo, ON","Estimated: $74,081 - $93,804 a year"
Software Engineer - Remote (Canada),TeamViewer,"— Kitchener, ON","Estimated: $93,341 - $118,190 a year"
